timestamp,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote,ignore,_tf
1776925500000,0.09632,0.09635,0.09631,0.09633,1837027.0,1776925799999,176942.83394000,739,1250020.00000000,120402.81502000,0,5m
1776925800000,0.09633,0.09648,0.09633,0.09638,6036139.0,1776926099999,581985.63805000,1907,3647105.00000000,351652.77498000,0,5m
1776926100000,0.09639,0.09641,0.09625,0.09626,1015896.0,1776926399999,97850.40999000,950,565322.00000000,54455.13025000,0,5m
1776926400000,0.09626,0.09629,0.09615,0.09617,546902.0,1776926699999,52618.15484000,540,274184.00000000,26381.20768000,0,5m
1776926700000,0.09618,0.09622,0.09612,0.09612,1010130.0,1776926999999,97123.55562000,748,575029.00000000,55290.10839000,0,5m
1776927000000,0.09612,0.0962,0.09608,0.09611,982771.0,1776927299999,94469.92928000,797,402915.00000000,38729.79267000,0,5m
1776927300000,0.09612,0.09612,0.09604,0.09609,1342226.0,1776927599999,128952.28119000,784,528216.00000000,50747.28959000,0,5m
1776927600000,0.09609,0.09616,0.09604,0.09606,1556036.0,1776927899999,149562.10903000,905,796298.00000000,76536.37900000,0,5m
1776927900000,0.09606,0.09611,0.09602,0.09602,953950.0,1776928199999,91635.49312000,683,348339.00000000,33467.37877000,0,5m
1776928200000,0.09601,0.09606,0.09593,0.09597,994401.0,1776928499999,95455.32179000,720,541777.00000000,52010.16899000,0,5m
1776928500000,0.09596,0.09597,0.09582,0.09584,1915153.0,1776928799999,183611.46896000,1422,713652.00000000,68414.14481000,0,5m
1776928800000,0.09585,0.09586,0.09577,0.09578,1685340.0,1776929099999,161454.66731000,1134,689380.00000000,66048.41531000,0,5m
1776929100000,0.09577,0.09579,0.09569,0.09571,1283262.0,1776929399999,122870.43058000,1332,708638.00000000,67852.88662000,0,5m
1776929400000,0.0957,0.09592,0.09556,0.09587,5377274.0,1776929699999,514835.16056000,3119,3354979.00000000,321165.24975000,0,5m
1776929700000,0.09587,0.09591,0.09574,0.09588,1541941.0,1776929999999,147777.42720000,1255,727682.00000000,69742.53528000,0,5m
1776930000000,0.09589,0.09591,0.09578,0.09589,911277.0,1776930299999,87352.31499000,1000,516606.00000000,49524.39690000,0,5m
1776930300000,0.0959,0.09596,0.09586,0.09596,669103.0,1776930599999,64168.27553000,940,368565.00000000,35347.17425000,0,5m
1776930600000,0.09596,0.096,0.0958,0.09583,2395828.0,1776930899999,229675.28716000,1400,731744.00000000,70139.71992000,0,5m
1776930900000,0.09582,0.09595,0.09582,0.09593,1958848.0,1776931199999,187833.19735000,1129,831864.00000000,79768.39377000,0,5m
1776931200000,0.09593,0.09596,0.09587,0.09593,1268539.0,1776931499999,121672.96617000,1122,390258.00000000,37433.16540000,0,5m
1776931500000,0.09593,0.09599,0.09584,0.09598,1376884.0,1776931799999,132059.30464000,1035,724727.00000000,69509.61181000,0,5m
1776931800000,0.09597,0.09608,0.09591,0.09603,2345594.0,1776932099999,225197.12559000,1151,2207143.00000000,211902.69990000,0,5m
1776932100000,0.09603,0.09611,0.096,0.0961,1329551.0,1776932399999,127711.31540000,1104,1163726.00000000,111784.11846000,0,5m
1776932400000,0.09611,0.0962,0.09604,0.0961,2998018.0,1776932699999,288206.41289000,1867,2263190.00000000,217577.62005000,0,5m
1776932700000,0.0961,0.09621,0.09607,0.09618,3005255.0,1776932999999,288967.35145000,1795,1998216.00000000,192142.59240000,0,5m
1776933000000,0.09619,0.09628,0.09585,0.09586,8668530.0,1776933299999,832785.88643000,3351,2616794.00000000,251455.45377000,0,5m
1776933300000,0.09585,0.09592,0.09579,0.09587,1685229.0,1776933599999,161522.82746000,1293,874176.00000000,83796.47329000,0,5m
1776933600000,0.09586,0.09586,0.09576,0.09578,751392.0,1776933899999,71996.72504000,991,253543.00000000,24294.74952000,0,5m
1776933900000,0.09578,0.09595,0.09578,0.09589,893281.0,1776934199999,85612.90935000,1013,490078.00000000,46969.18852000,0,5m
1776934200000,0.09589,0.09594,0.09586,0.09594,1703206.0,1776934499999,163358.84736000,981,1544307.00000000,148122.31315000,0,5m
1776934500000,0.09593,0.09604,0.09592,0.09597,486915.0,1776934799999,46738.94706000,764,261559.00000000,25104.70005000,0,5m
1776934800000,0.09598,0.09599,0.09564,0.09566,1863899.0,1776935099999,178573.01689000,1575,441821.00000000,42356.66549000,0,5m
1776935100000,0.09565,0.09576,0.09536,0.09556,4408383.0,1776935399999,421185.89153000,3236,1210686.00000000,115710.90582000,0,5m
1776935400000,0.09555,0.09556,0.09541,0.09556,1703738.0,1776935699999,162699.49820000,1568,1019730.00000000,97377.89185000,0,5m
1776935700000,0.09555,0.09581,0.09555,0.09574,1135412.0,1776935999999,108604.21736000,1496,774295.00000000,74064.26471000,0,5m
1776936000000,0.09574,0.09574,0.09555,0.09561,2953706.0,1776936299999,282401.31717000,1155,757165.00000000,72406.72878000,0,5m
1776936300000,0.09561,0.09575,0.09556,0.09569,2499343.0,1776936599999,239091.92261000,1032,2133044.00000000,204058.35225000,0,5m
1776936600000,0.0957,0.09575,0.09567,0.09572,394632.0,1776936899999,37774.43979000,577,303097.00000000,29013.66603000,0,5m
1776936900000,0.09571,0.09577,0.09571,0.09575,424833.0,1776937199999,40669.67919000,496,326642.00000000,31270.03566000,0,5m
1776937200000,0.09575,0.09579,0.09567,0.09568,1214169.0,1776937499999,116252.66539000,611,660277.00000000,63237.14694000,0,5m
1776937500000,0.09568,0.0957,0.09541,0.09552,4429815.0,1776937799999,423329.99119000,1795,1630483.00000000,155784.85359000,0,5m
1776937800000,0.09553,0.09565,0.09553,0.09562,425800.0,1776938099999,40710.19846000,682,263891.00000000,25229.70682000,0,5m
1776938100000,0.09561,0.09567,0.09561,0.09566,916769.0,1776938399999,87675.19782000,675,324697.00000000,31052.54797000,0,5m
1776938400000,0.09565,0.0957,0.09561,0.09561,4766569.0,1776938699999,455877.05404000,770,4077772.00000000,390005.81902000,0,5m
1776938700000,0.09561,0.09561,0.09539,0.09546,9676620.0,1776938999999,924027.29017000,3525,2771201.00000000,264592.48416000,0,5m
1776939000000,0.09546,0.09553,0.09532,0.09534,2269027.0,1776939299999,216396.12492000,1383,812853.00000000,77535.78581000,0,5m
1776939300000,0.09534,0.09543,0.09534,0.09542,1216557.0,1776939599999,116016.68700000,1017,795601.00000000,75875.48151000,0,5m
1776939600000,0.09542,0.09549,0.09537,0.09546,4428502.0,1776939899999,422645.03069000,1040,4064704.00000000,387931.06132000,0,5m
1776939900000,0.09546,0.09553,0.09546,0.09546,1744710.0,1776940199999,166626.20622000,670,1089346.00000000,104033.03447000,0,5m
1776940200000,0.09546,0.09562,0.09545,0.09561,846137.0,1776940499999,80828.77873000,897,638486.00000000,60992.64599000,0,5m
1776940500000,0.09562,0.09567,0.09555,0.09563,663116.0,1776940799999,63401.18985000,860,378626.00000000,36201.34217000,0,5m
1776940800000,0.09563,0.09571,0.09563,0.09566,892890.0,1776941099999,85436.63685000,648,459077.00000000,43924.66642000,0,5m
1776941100000,0.09565,0.09577,0.09565,0.09567,1130925.0,1776941399999,108235.24854000,712,808977.00000000,77421.50341000,0,5m
1776941400000,0.09566,0.09571,0.09562,0.09564,224810.0,1776941699999,21506.57539000,584,107652.00000000,10299.20633000,0,5m
1776941700000,0.09565,0.09573,0.09564,0.09572,641636.0,1776941999999,61411.73516000,532,201597.00000000,19295.11800000,0,5m
1776942000000,0.09573,0.09583,0.09573,0.09581,1261912.0,1776942299999,120895.75725000,922,925177.00000000,88638.63561000,0,5m
1776942300000,0.09581,0.09586,0.09574,0.09585,732303.0,1776942599999,70149.83206000,948,305465.00000000,29267.99283000,0,5m
1776942600000,0.09585,0.09592,0.09583,0.09591,3061646.0,1776942899999,293592.20367000,1156,1859008.00000000,178265.84171000,0,5m
1776942900000,0.0959,0.09598,0.09589,0.09596,322394.0,1776943199999,30925.03218000,779,196619.00000000,18862.18855000,0,5m
1776943200000,0.09596,0.096,0.09584,0.09594,821207.0,1776943499999,78755.31734000,900,402239.00000000,38574.79774000,0,5m
1776943500000,0.09594,0.096,0.09592,0.09595,511517.0,1776943799999,49084.39896000,997,313786.00000000,30111.79367000,0,5m
1776943800000,0.09595,0.09598,0.09591,0.09594,919503.0,1776944099999,88211.27704000,697,667952.00000000,64078.70659000,0,5m
1776944100000,0.09593,0.09611,0.09593,0.09598,1410022.0,1776944399999,135393.12446000,1639,844638.00000000,81101.05136000,0,5m
1776944400000,0.09598,0.0961,0.09597,0.09608,1329225.0,1776944699999,127677.17903000,941,1155755.00000000,111012.62499000,0,5m
1776944700000,0.09609,0.09626,0.09608,0.09617,4756401.0,1776944999999,457480.34618000,2402,2071632.00000000,199268.30786000,0,5m
1776945000000,0.09617,0.09632,0.09616,0.09629,4993846.0,1776945299999,480667.24910000,2048,2015141.00000000,193966.65066000,0,5m
1776945300000,0.09628,0.09631,0.09616,0.09618,1737858.0,1776945599999,167259.36648000,1025,1235421.00000000,118915.50476000,0,5m
1776945600000,0.09618,0.09645,0.09617,0.09643,5576939.0,1776945899999,537269.30646000,2550,4088733.00000000,393887.03013000,0,5m
1776945900000,0.09643,0.09664,0.09636,0.09649,4688645.0,1776946199999,452605.55243000,3443,3007500.00000000,290314.66493000,0,5m
1776946200000,0.09649,0.09696,0.09647,0.09682,5931390.0,1776946499999,574055.83139000,5091,3496986.00000000,338377.20540000,0,5m
1776946500000,0.09682,0.09682,0.09661,0.09663,2792644.0,1776946799999,270093.23206000,1558,875049.00000000,84612.56235000,0,5m
1776946800000,0.09663,0.09674,0.09656,0.09672,1806713.0,1776947099999,174627.42493000,1508,881435.00000000,85201.21181000,0,5m
1776947100000,0.09672,0.09678,0.09655,0.09659,1683066.0,1776947399999,162683.29126000,937,1001131.00000000,96803.96648000,0,5m
1776947400000,0.09658,0.09674,0.09658,0.0967,1425194.0,1776947699999,137764.65777000,1157,1078065.00000000,104208.86164000,0,5m
1776947700000,0.0967,0.09677,0.09667,0.09674,1051592.0,1776947999999,101714.39190000,735,760305.00000000,73534.58894000,0,5m
1776948000000,0.09675,0.09677,0.09663,0.09663,796929.0,1776948299999,77066.43123000,738,311990.00000000,30182.41530000,0,5m
1776948300000,0.09664,0.09671,0.09627,0.09636,10630503.0,1776948599999,1025283.28915000,5234,3381539.00000000,326189.87866000,0,5m
1776948600000,0.09636,0.09641,0.09631,0.09637,814858.0,1776948899999,78512.44493000,987,644565.00000000,62101.42732000,0,5m
1776948900000,0.09637,0.09654,0.09637,0.09654,860830.0,1776949199999,83054.89219000,758,713114.00000000,68801.43139000,0,5m
1776949200000,0.09653,0.09666,0.09652,0.09662,939675.0,1776949499999,90756.16161000,1170,684972.00000000,66157.77030000,0,5m
1776949500000,0.09661,0.09666,0.09656,0.09664,896465.0,1776949799999,86595.50782000,866,654053.00000000,63180.88310000,0,5m
1776949800000,0.09663,0.09665,0.09643,0.09647,1943597.0,1776950099999,187630.02684000,1362,919135.00000000,88742.96376000,0,5m
1776950100000,0.09648,0.09658,0.09644,0.09653,1080696.0,1776950399999,104289.23753000,1314,644401.00000000,62187.34868000,0,5m
